NO,HARI,TGL,JAM,JALAN,KECAMATAN,JENIS KECELAKAAN,UMUR,JENIS KELAMIN,KENDARAAN TERSANGKA
1,Thursday,12/31/2020,21:56,Abd KADIR,Tamalate,TK,adolescent,LK,R2
2,Friday,1/1/2021,16:30,PERINTIS KEMERDEKAAN,Biringkanaya,TK,adult,LK,R2
3,Friday,1/1/2021,7:30,Hertasning,Panakukang,TM,adolescent,LK,R4
4,Friday,12/18/2020,14:30,PERINTIS KEMERDEKAAN,Biringkanaya,OC,adult,LK,R2
5,Wednesday,12/30/2020,22:30,IR. SUTAMI,Tamalanrea,TK,adult,LK,R2
6,Friday,1/1/2021,19:15,PERINTIS KEMERDEKAAN,Tamalanrea,TK,adult,PR,R4
7,Friday,1/1/2021,16:30,Citra Daya 2,Biringkanaya,TK,child,LK,R2
8,Saturday,1/2/2021,23:30,ANDI JEMMA,Rappocini,TK,adult,LK,R4
9,Sunday,1/3/2021,3:00,BONTOLEMPANGAN,Ujung Pandang,TK,adult,LK,R2
10,Sunday,1/3/2021,13:45,Katimbang,Biringkanaya,TK,adult,LK,R2
11,Sunday,1/3/2021,11:00,Tamangapa Raya,Manggala,TL,NOV,NOV,R4
12,Sunday,1/3/2021,21:30,PERINTIS KEMERDEKAAN,Biringkanaya,TL,NOV,NOV,R4
13,Monday,1/4/2021,17:30,JENDRAL SUDIRMAN,Ujung Pandang,TK,adolescent,LK,R2
14,Monday,1/4/2021,7:30,PERINTIS KEMERDEKAAN,Biringkanaya,TK,adolescent,PR,R2
15,Tuesday,1/5/2021,14:35,POROS BANDARA,Biringkanaya,OC,adult,PR,R4
16,Thursday,1/7/2021,13:00,Manginsidi,Rappocini,OC,adolescent,PR,R2
17,Friday,12/1/2021,19:00,Bakong,Biringkanaya,OC,adult,LK,R2
18,Thursday,1/7/2021,13:25,Gatot Subroto,Tallo,TL,NOV,NOV,R2
19,Friday,1/8/2021,15:00,TODDOPULI RAYA,Panakukang,TM,adolescent,LK,R2
20,Friday,1/8/2021,0:15,PERINTIS KEMERDEKAAN,Tamalanrea,TK,adolescent,PR,R2
21,Monday,1/11/2021,11:30,Taman Sudiang,Biringkanaya,TK,adult,LK,R4
22,Sunday,1/10/2021,23:00,Poros Perumnas Sudiang,Biringkanaya,OC,adolescent,LK,R2
23,Monday,1/11/2021,9:00,Veteran Utara,Bontoala,TL,NOV,NOV,R4
24,Tuesday,1/12/2021,8:00,VETERAN SELATAN,Mamajang,TL,NOV,NOV,R4
25,Tuesday,1/12/2021,15:15,Kakatua,Mamajang,TL,NOV,NOV,R2
26,Tuesday,1/12/2021,14:30,Sinassara,Tallo,TK,adolescent,LK,R2
27,Wednesday,1/13/2021,8:30,URIP SUMOHARJO,Panakukang,TK,adult,LK,R2
28,Thursday,1/14/2021,8:40,Lasinrang,Ujung Pandang,TK,adolescent,PR,R2
29,Saturday,1/16/2021,18:00,IR. SUTAMI,Tamalanrea,TK,adolescent,LK,R2
30,Wednesday,1/13/2021,15:50,URIP SUMOHARJO,Panakukang,TK,adult,lk,R4
31,Friday,1/15/2021,18:40,Sungai Saddang,Makassar,TM,adult,LK,R4
32,Monday,1/18/2021,16:30,Tamangapa Raya,Manggala,TK,adult,LK,R6
33,Tuesday,1/19/2021,23:00,PERINTIS KEMERDEKAAN,Biringkanaya,TK,adult,LK,R4
34,Tuesday,1/19/2021,22:00,SULTAN ALAUDDIN,Tamalate,TM,adult,PR,R2
35,Tuesday,1/19/2021,9:00,GUNUNG LATIMOJONG,Makassar,TL,NOV,NOV,R3
36,Wednesday,1/20/2021,19:30,Karunrung,Ujung Pandang,TM,adolescent,LK,R2
37,Thursday,1/21/2021,18:00,Veteran Utara,Makassar,TK,adolescent,LK,R6
38,Thursday,1/21/2021,17:20,Inspeksi Pam,Manggala,TK,adolescent,LK,R2
39,Friday,1/22/2021,7:00,Hertasning,Panakukang,TK,adult,LK,R2
40,Friday,1/22/2021,17:00,Baru,Manggala,TL,NOV,NOV,R4
41,Sunday,1/24/2021,13:00,HAJI BAU MKS,Ujung Pandang,TK,adult,LK,R2
42,Sunday,1/24/2021,22:30,Masjid Raya,Bontoala,TK,adult,PR,R2
43,Monday,1/25/2021,16:30,ANDI PANGERANG PETTARANI,Panakukang,TK,adult,LK,R4
44,Monday,1/25/2021,21:00,KUMALA,Tamalate,TL,NOV,NOV,R2
45,Wednesday,1/27/2021,9:30,ANDI PANGERANG PETTARANI,Panakukang,TB,adult,LK,R10
46,Thursday,1/28/2021,13:00,PERINTIS KEMERDEKAAN,Biringkanaya,TK,adolescent,LK,R2
47,Tuesday,1/26/2021,14:10,Komp. Unhas,Tallo,TM,adult,LK,R10
48,Sunday,1/31/2021,5:00,ANTANG RAYA,Manggala,TM,adult,LK,R6
49,Sunday,1/31/2021,14:00,SUNGAI SADDANG,Ujung Pandang,TL,NOV,NOV,R2
50,Sunday,1/31/2021,8:00,Goa Ria,Biringkanaya,TK,adolescent,LK,R2
51,Sunday,1/31/2021,16:00,Danau Tanjung Bunga,Tamalate,TK,adult,LK,R4
52,Monday,2/1/2021,15:30,ANDI PANGERANG PETTARANI,Panakukang,TK,adult,LK,R4
53,Tuesday,2/2/2021,19:00,Lasuloro,Manggala,TL,NOV,NOV,R2
54,Wednesday,2/3/2021,4:40,Bandang,Bontoala,TL,NOV,NOV,R6
55,Wednesday,2/3/2021,10:30,URIP SUMOHARJO,Panakukang,TK,adult,LK,R2
56,Wednesday,2/3/2021,12:45,MUH YAMIN,Makassar,TK,adolescent,LK,R2
57,Wednesday,2/3/2021,13:15,ANDI PANGERANG PETTARANI,Panakukang,TM,adult,LK,R2
58,Wednesday,1/3/2021,15:45,Hertasning,Panakukang,TK,adolescent,PR,R4
59,Wednesday,1/3/2021,21:20,U. Pandang,Ujung Pandang,TM,adult,LK,R2
60,Wednesday,2/3/2021,22:00,SULTAN ALAUDDIN,Tamalate,TK,adult,LK,R2
61,Thursday,2/4/2021,21:00,Veteran Utara,Makassar,TL,NOV,NOV,R2
62,Friday,2/5/2021,21:00,PERINTIS KEMERDEKAAN,Biringkanaya,TK,adolescent,LK,R2
63,Saturday,2/6/2021,16:00,Veteran Utara,Makassar,TK,adult,LK,R6
64,Tuesday,2/2/2021,16:00,Ratulangi,Mamajang,T,adult,LK,R2
65,Saturday,2/6/2021,22:00,URIP SUMOHARJO,Panakukang,TK,adult,LK,R2
66,Sunday,2/7/2021,14:00,GUNUNG LATIMOJONG,Makassar,TK,adult,LK,R4
67,Saturday,2/6/2021,21:00,BOULEVARD,Biringkanaya,OC,adolescent,PR,R2
68,Tuesday,2/9/2021,7:30,ARIEF RATE,Ujung Pandang,TK,adult,PR,R4
69,Tuesday,2/9/2021,12:00,JENDRAL SUDIRMAN,Ujung Pandang,TK,adult,LK,R4
70,Wednesday,2/10/2021,10:30,URIP SUMOHARJO,Panakukang,TM,adolescent,LK,R2
71,Thursday,2/11/2021,9:00,PERINTIS KEMERDEKAAN,Biringkanaya,TK,adolescent,LK,R2
72,Monday,2/8/2021,16:15,Poros Perumnas Sudiang,Biringkanaya,TM,adult,LK,R4
73,Sunday,2/7/2021,18:00,Syekh Yusuf,Rappocini,TK,adolescent,LK,R2
74,Thursday,2/11/2021,21:30,Arung Teko,Biringkanaya,TK,adolescent,LK,R2
75,Wednesday,2/10/2021,18:00,ANDI PANGERANG PETTARANI,Panakukang,TK,adult,LK,R2
76,Tuesday,2/16/2021,8:30,PERINTIS KEMERDEKAAN,Biringkanaya,TK,adult,LK,R4
77,Tuesday,2/16/2021,15:30,Sultan Abdullah,Tallo,TK,adult,LK,R10
78,Tuesday,2/16/2021,17:20,Kandea,Bontoala,TM,adult,PR,R4
79,Wednesday,2/17/2021,7:30,URIP SUMOHARJO,Panakukang,TL,NOV,NOV,R3
80,Thursday,2/18/2021,12:00,BALAIKOTA,Ujung Pandang,TK,adult,LK,R2
81,Thursday,1/21/2021,14:00,IR. SUTAMI,Tamalanrea,T,adult,LK,R2
82,Friday,2/19/2021,7:45,Goa Ria,Biringkanaya,TK,adult,LK,R2
83,Friday,2/19/2021,8:15,ANDI PANGERANG PETTARANI,Panakukang,TK,adolescent,LK,R2
84,Sunday,2/21/2021,9:00,BAROMBONG,Tamalate,T,adult,LK,R2
85,Monday,2/22/2021,17:00,KORBAN 40000 JIWA,Tallo,TM,adult,LK,R6
86,Sunday,2/21/2021,0:15,ABDULLAH DG SIRUA,Manggala,TK,adult,LK,R2
87,Wednesday,2/24/2021,1:20,URIP SUMOHARJO,Panakukang,TK,adolescent,LK,R2
88,Wednesday,2/24/2021,16:30,Mangerangi,Tamalate,TK,adult,LK,R2
89,Wednesday,2/24/2021,19:30,VETERAN SELATAN,Mamajang,TL,NOV,NOV,R4
90,Thursday,2/25/2021,14:30,ANDI TONRO,Manggala,TM,adult,LK,R4
91,Wednesday,2/24/2021,15:00,Krg. Patingaloang,Biringkanaya,T,adolescent,LK,R4
92,Friday,2/26/2021,14:30,Dahlia,Mariso,TK,adult,LK,R6
93,Friday,2/26/2021,13:30,ANDI PANGERANG PETTARANI,Tamalate,TK,adult,LK,R4
94,Sunday,2/28/2021,9:15,Galangan Kapal,Tallo,T,adult,LK,R2
95,Saturday,2/27/2021,4:45,PERINTIS KEMERDEKAAN,Biringkanaya,TL,NOV,NOV,R2
96,Friday,2/26/2021,12:30,Lanto Dg. Pasewang,Mamajang,TK,adult,PR,R4
97,Monday,3/1/2021,22:50,IR. SUTAMI,Biringkanaya,T,adult,LK,R2
98,Wednesday,12/23/2020,20:00,Tamalate,Rappocini,T,adult,LK,R2
99,Friday,2/26/2021,23:30,ANDI PANGERANG PETTARANI,Rappocini,TK,adult,LK,R4
100,Tuesday,3/2/2021,21:00,Galangan Kapal,Tallo,TK,adult,LK,R14
101,Tuesday,3/2/2021,23:00,TEUKU UMAR,Tallo,TK,adolescent,LK,R2
102,Wednesday,3/3/2021,21:40,Tamalate 1,Rappocini,TK,adolescent,LK,R2
103,Wednesday,3/3/2021,19:00,TODDOPULI RAYA,Panakukang,T,adult,LK,R2
104,Wednesday,3/3/2021,22:00,ANDI PANGERANG PETTARANI,Panakukang,T,adult,LK,R2
105,Saturday,3/6/2021,9:15,RAJAWALI,Mariso,TM,adolescent,LK,R3
106,Thursday,3/4/2021,20:00,SUNGAI SADDANG BARU,Makassar,TK,adolescent,LK,R2
107,Monday,3/8/2021,3:00,Ratulangi,Mamajang,OC,adult,LK,R2
108,Saturday,3/6/2021,11:00,Tamangapa Raya,Manggala,TK,adult,LK,R2
109,Saturday,3/6/2021,9:30,Poros Mangga 3,Biringkanaya,TL,NOV,NOV,R2
110,Monday,3/8/2021,23:00,ANDI PANGERANG PETTARANI,Panakukang,TK,adult,LK,R2
111,Monday,3/8/2021,23:30,Baji Minasa,Mariso,TK,adolescent,LK,R2
112,Thursday,3/11/2021,16:00,GUNUNG LATIMOJONG,Makassar,TM,adult,LK,R4
113,Wednesday,3/10/2021,15:30,Poros Hartato,Biringkanaya,TL,NOV,NOV,R4
114,Wednesday,31/07/2019,3:36,Tamalanrea Raya,Tamalanrea,TK,adult,LK,R2
115,Thursday,1/8/2019,0:00,PERINTIS KEMERDEKAAN,Tamalanrea,TL,NOV,NOV,R2
116,Wednesday,31/07/2019,10:48,URIP SUMOHARJO,Panakukang,TM,adult,LK,R2
117,Monday,29/07/2019,0:00,GONTANG RAYA,Tamalate,TL,NOV,NOV,R6
118,Monday,1/8/2019,8:24,URIP SUMOHARJO,Panakukang,TM,adolescent,LK,R2
119,Friday,2/8/2019,3:36,POROS BANDARA,Biringkanaya,TK,adult,PR,R2
120,Friday,2/8/2019,0:00,TUPAI,MAMAJANG,TM,adolescent,PR,R2
121,Friday,2/8/2019,0:00,Paccerakkang,Biringkanaya,TL,NOV,NOV,R2
122,Saturday,3/8/2019,0:00,MUH YAMIN,Makassar,TL,NOV,NOV,R2
123,Friday,26/07/2019,0:00,BULOGADING,Ujung Pandang,TB,adolescent,LK,R4
124,Thursday,1/8/2019,0:00,METRO TANJUNG BUNGA,Mariso,TL,NOV,NOV,R2
125,Sunday,4/8/2019,10:48,PERINTIS KEMERDEKAAN,Tamalanrea,TL,NOV,NOV,R4
126,Saturday,3/8/2019,0:00,Poros Unhas,Tamalanrea,TL,NOV,NOV,R2
127,Sunday,4/8/2019,9:36,PACCEREKANG,Biringkanaya,TL,NOV,NOV,R2
128,Saturday,3/4/2019,7:12,KUMALA,Tamalate,TM,adult,LK,R2
129,Sunday,4/8/2019,0:00,URIP SUMOHARJO,BONTOALA,TL,NOV,NOV,R2
130,Saturday,3/8/2019,0:00,MAPALA,Rappocini,TL,NOV,NOV,R4
131,Sunday,4/8/2019,7:12,KOMP IDI ANTANG,Manggala,TK,adolescent,LK,R2
132,Friday,2/8/2019,0:00,VETERAN SELATAN,MAMAJANG,TL,NOV,NOV,R2
133,Friday,2/8/2019,0:00,KUMALA,Tamalate,TK,adult,PR,R4
134,Sunday,4/8/2019,7:12,URIP SUMOHARJO,Panakukang,TK,adolescent,LK,R2
135,Sunday,4/8/2019,10:48,ADHYAKSA BARU,Panakukang,TK,adolescent,LK,R2
136,Sunday,4/8/2019,0:00,PERINTIS KEMERDEKAAN,Tamalanrea,TK,adolescent,LK,R4
137,Friday,3/8/2019,7:12,KEMAUAN V MAKASSAR,Makassar,TM,adolescent,LK,R2
138,Monday,5/8/2019,0:00,RATULANGI,Mariso,TK,adult,PR,R4
