day,time,address,district,accident_type,age,gender,suspect_vehicle,lat,long
Friday,Afternoon,perintis kemerdekaan,biringkanaya,TK,adult,LK,R2,-5.0876472,119.5188217
Friday,Afternoon,perintis kemerdekaan,biringkanaya,OC,adult,LK,R2,-5.0876472,119.5188217
Friday,Evening,perintis kemerdekaan,tamalanrea,TK,adult,PR,R4,-5.1257155,119.5040112
Sunday,Afternoon,katimbang,biringkanaya,TK,adult,LK,R2,-5.1381608,119.5208779
Sunday,Morning,tamangapa raya,manggala,TL,NOV,NOV,R4,-5.1767373,119.4843844
Sunday,Evening,perintis kemerdekaan,biringkanaya,TL,NOV,NOV,R4,-5.0876472,119.5188217
Monday,Morning,perintis kemerdekaan,biringkanaya,TK,adolescent,PR,R2,-5.0876472,119.5188217
Thursday,Afternoon,gatot subroto,tallo,TL,NOV,NOV,R2,-5.1182406,119.4349653
Friday,Night,perintis kemerdekaan,tamalanrea,TK,adolescent,PR,R2,-5.1257155,119.5040112
Monday,Morning,taman sudiang,biringkanaya,TK,adult,LK,R4,-5.0923368,119.5301508
Sunday,Night,poros perumnas sudiang,biringkanaya,OC,adolescent,LK,R2,-5.1018114,119.5316194
Monday,Morning,veteran utara,bontoala,TL,NOV,NOV,R4,-5.1407973,119.4239945
Tuesday,Morning,veteran selatan,mamajang,TL,NOV,NOV,R4,-5.1671547,119.419923
Tuesday,Afternoon,kakatua,mamajang,TL,NOV,NOV,R2,-5.1632958,119.4149338
Tuesday,Afternoon,sinassara,tallo,TK,adolescent,LK,R2,-5.1168972,119.4391295
Thursday,Morning,lasinrang,ujung pandang,TK,adolescent,PR,R2,-5.146835,119.4142894
Friday,Evening,sungai saddang,makassar,TM,adult,LK,R4,-5.1468498,119.4249901
Monday,Afternoon,tamangapa raya,manggala,TK,adult,LK,R6,-5.1767373,119.4843844
Tuesday,Night,perintis kemerdekaan,biringkanaya,TK,adult,LK,R4,-5.0876472,119.5188217
Tuesday,Evening,sultan alauddin,tamalate,TM,adult,PR,R2,-5.1682127,119.4209944
Tuesday,Morning,gunung latimojong,makassar,TL,NOV,NOV,R3,-5.1405404,119.4208275
Wednesday,Evening,karunrung,ujung pandang,TM,adolescent,LK,R2,-5.1448851,119.4127054
Thursday,Evening,veteran utara,makassar,TK,adolescent,LK,R6,-5.1391986,119.4233018
Thursday,Afternoon,inspeksi pam,manggala,TK,adolescent,LK,R2,-5.1552844,119.4774932
Friday,Afternoon,baru,manggala,TL,NOV,NOV,R4,-5.1664974,119.4675073
Monday,Evening,kumala,tamalate,TL,NOV,NOV,R2,-5.1751691,119.4167077
Thursday,Afternoon,perintis kemerdekaan,biringkanaya,TK,adolescent,LK,R2,-5.0876472,119.5188217
Tuesday,Afternoon,komp. unhas,tallo,TM,adult,LK,R10,-5.1273889,119.4269936
Sunday,Morning,antang raya,manggala,TM,adult,LK,R6,-5.1664795,119.478882
Sunday,Afternoon,sungai saddang,ujung pandang,TL,NOV,NOV,R2,-5.1468498,119.4249901
Sunday,Morning,goa ria,biringkanaya,TK,adolescent,LK,R2,-5.0810812,119.5253813
Tuesday,Evening,lasuloro,manggala,TL,NOV,NOV,R2,-5.1700155,119.4881657
Wednesday,Night,bandang,bontoala,TL,NOV,NOV,R6,-5.1329092,119.4213666
Wednesday,Evening,sultan alauddin,tamalate,TK,adult,LK,R2,-5.1682127,119.4209944
Thursday,Evening,veteran utara,makassar,TL,NOV,NOV,R2,-5.1391986,119.4233018
Friday,Evening,perintis kemerdekaan,biringkanaya,TK,adolescent,LK,R2,-5.0876472,119.5188217
Saturday,Afternoon,veteran utara,makassar,TK,adult,LK,R6,-5.1391986,119.4233018
Tuesday,Afternoon,ratulangi,mamajang,T,adult,LK,R2,-5.1670755,119.4198124
Sunday,Afternoon,gunung latimojong,makassar,TK,adult,LK,R4,-5.1405404,119.4208275
Tuesday,Morning,arief rate,ujung pandang,TK,adult,PR,R4,-5.1473917,119.4130735
Thursday,Morning,perintis kemerdekaan,biringkanaya,TK,adolescent,LK,R2,-5.0876472,119.5188217
Monday,Afternoon,poros perumnas sudiang,biringkanaya,TM,adult,LK,R4,-5.1018114,119.5316194
Thursday,Evening,arung teko,biringkanaya,TK,adolescent,LK,R2,-5.0741882,119.5291925
Tuesday,Morning,perintis kemerdekaan,biringkanaya,TK,adult,LK,R4,-5.0876472,119.5188217
Tuesday,Afternoon,sultan abdullah,tallo,TK,adult,LK,R10,-5.1037126,119.4396863
Tuesday,Afternoon,kandea,bontoala,TM,adult,PR,R4,-5.1284577,119.4223128
Friday,Morning,goa ria,biringkanaya,TK,adult,LK,R2,-5.0810812,119.5253813
Wednesday,Afternoon,mangerangi,tamalate,TK,adult,LK,R2,-5.1688801,119.4145338
