day,time,address,district,accident_type,age,gender,suspect_vehicle,lat,long,Cluster
Friday,Afternoon,perintis kemerdekaan,biringkanaya,TK,adult,LK,R2,-5.0934582,119.5134093,7
Friday,Afternoon,perintis kemerdekaan,biringkanaya,OC,adult,LK,R2,-5.0934582,119.5134093,7
Friday,Evening,perintis kemerdekaan,tamalanrea,TK,adult,PR,R4,-5.1257155,119.5040112,3
Sunday,Afternoon,katimbang,biringkanaya,TK,adult,LK,R2,-5.1381608,119.5208779,7
Sunday,Morning,tamangapa raya,manggala,TL,NOV,NOV,R4,-5.1767373,119.4843844,9
Sunday,Evening,perintis kemerdekaan,biringkanaya,TL,NOV,NOV,R4,-5.0934582,119.5134093,2
Monday,Morning,perintis kemerdekaan,biringkanaya,TK,adolescent,PR,R2,-5.0934582,119.5134093,1
Thursday,Afternoon,gatot subroto,tallo,TL,NOV,NOV,R2,-5.1182406,119.4349653,10
Friday,Night,perintis kemerdekaan,tamalanrea,TK,adolescent,PR,R2,-5.1257155,119.5040112,0
Monday,Morning,taman sudiang,biringkanaya,TK,adult,LK,R4,-5.091304,119.5263867,3
Sunday,Night,poros perumnas sudiang,biringkanaya,OC,adolescent,LK,R2,-5.1012568,119.5310464,0
Monday,Morning,veteran utara,bontoala,TL,NOV,NOV,R4,-5.1407973,119.4239945,9
Tuesday,Morning,veteran selatan,mamajang,TL,NOV,NOV,R4,-5.1671547,119.419923,9
Tuesday,Afternoon,kakatua,mamajang,TL,NOV,NOV,R2,-5.1647952,119.4145876,10
Tuesday,Afternoon,sinassara,tallo,TK,adolescent,LK,R2,-5.1166594,119.4387765,11
Thursday,Morning,lasinrang,ujung pandang,TK,adolescent,PR,R2,-5.146835,119.4142894,1
Friday,Evening,sungai saddang,makassar,TM,adult,LK,R4,-5.1468498,119.4249901,3
Monday,Afternoon,tamangapa raya,manggala,TK,adult,LK,R6,-5.1767373,119.4843844,3
Tuesday,Night,perintis kemerdekaan,biringkanaya,TK,adult,LK,R4,-5.0934582,119.5134093,3
Tuesday,Evening,sultan alauddin,tamalate,TM,adult,PR,R2,-5.1740774,119.4312419,6
Tuesday,Morning,gunung latimojong,makassar,TL,NOV,NOV,R3,-5.1405404,119.4208275,9
Wednesday,Evening,karunrung,ujung pandang,TM,adolescent,LK,R2,-5.1448851,119.4127054,0
Thursday,Evening,veteran utara,makassar,TK,adolescent,LK,R6,-5.1407973,119.4239945,11
Thursday,Afternoon,inspeksi pam,manggala,TK,adolescent,LK,R2,-5.1501163,119.4756964,11
Friday,Afternoon,baru,manggala,TL,NOV,NOV,R4,-5.1617077,119.463545,2
Monday,Evening,kumala,tamalate,TL,NOV,NOV,R2,-5.169866,119.4189942,10
Thursday,Afternoon,perintis kemerdekaan,biringkanaya,TK,adolescent,LK,R2,-5.0934582,119.5134093,11
Tuesday,Afternoon,komp. unhas,tallo,TM,adult,LK,R10,-5.1273889,119.4269936,3
Sunday,Morning,antang raya,manggala,TM,adult,LK,R6,-5.1602384,119.4774127,8
